VariableName,DisplayName,DeviceName,Raster,DefaultBackColor,DefaultForeColor,HighThreshBackColor,LowThreshBackColor,HighThreshForeColor,LowThreshForeColor,HighThresh,LowThresh,EqualTo,Row,Col,CheckForDataChange,DisplayWindowName,DisplayWindowSize,AssociatedControlName,LocationOnForm,GridSize,AlsoAssociatedWith,DisplayFormat
VaTOFR_e_Confidence[x]_[0],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,1,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[1],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,2,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[2],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,3,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[3],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,4,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[4],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,5,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[5],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,6,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[6],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,7,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[7],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,8,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[8],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,9,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_Confidence[x]_[9],Confidence,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,3,10,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[0],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,1,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[1],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,2,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[2],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,3,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[3],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,4,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[4],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,5,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[5],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,6,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[6],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,7,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[7],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,8,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[8],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,9,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_DynProperty[x]_[9],DynProp,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,4,10,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[0],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,1,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[1],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,2,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[2],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,3,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[3],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,4,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[4],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,5,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[5],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,6,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[6],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,7,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[7],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,8,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[8],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,9,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_RltvLane[x]_[9],RltvLane,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,5,10,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[0],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,1,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[1],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,2,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[2],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,3,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[3],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,4,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[4],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,5,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[5],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,6,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[6],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,7,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[7],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,8,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[8],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,9,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_ObjType[x]_[9],ObjType,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,6,10,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_l_RltvLonPstn[x]_[0],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,1,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[1],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,2,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[2],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,3,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[3],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,4,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[4],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,5,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[5],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,6,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[6],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,7,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[7],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,8,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[8],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,9,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLonPstn[x]_[9],RltvLonPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,7,10,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD Y,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[0],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,1,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[1],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,2,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[2],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,3,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[3],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,4,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[4],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,5,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[5],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,6,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[6],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,7,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[7],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,8,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[8],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,9,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_l_RltvLatPstn[x]_[9],RltvLatPos,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,8,10,FALSE,Obj Ffus,,Front Fusion,,,FUSION TD X,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[0],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,1,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[1],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,2,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[2],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,3,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[3],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,4,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[4],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,5,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[5],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,6,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[6],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,7,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[7],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,8,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[8],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,9,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLonVel[x]_[9],RltvLonVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,9,10,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[0],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,1,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
